lineage	nuc_muts	spike_muts	s1_muts	s2_muts	ntd_muts	rbd_muts	orf1ab_muts	accessory_muts
A	4.	0.	0.	0.	0.	0.	0.	1.5
A.1	6.	0.	0.	0.	0.	0.	2.	1.
A.18	9.	1.	1.	0.	0.	0.	1.	2.
A.19	9.	1.	1.	0.	0.	0.	0.	2.
A.2	8.	0.	0.	0.	0.	0.	1.	3.
A.21	9.	1.	1.	0.	0.	0.	1.	3.
A.23	18.	3.	3.	0.	1.	1.	2.	3.
A.23.1	20.	4.	4.	0.	1.	1.	3.	3.
A.2.5	27.	2.	2.	0.	0.	1.	6.	6.
A.25	8.	0.	0.	0.	0.	0.	2.	3.
A.2.5.1	29.	2.	2.	0.	0.	1.	7.	7.
A.2.5.2	30.	2.	2.	0.	0.	1.	7.	7.
A.2.5.3	30.	3.	3.	0.	0.	2.	6.	6.
A.27	24.	7.	5.	2.	1.	2.	4.	3.
A.28	20.	2.	2.	0.	0.	1.	4.	4.
A.29	24.	5.	5.	0.	1.	2.	5.	6.
A.3	13.	0.	0.	0.	0.	0.	4.	3.
A.5	4.	0.	0.	0.	0.	0.	0.	1.
AD.2	18.	1.	1.	0.	0.	0.	6.	4.
AE.1	11.	1.	1.	0.	0.	0.	2.	2.
AE.8	15.	1.	1.	0.	0.	0.	5.	2.
AT.1	32.	6.	4.	1.	2.	1.	11.	4.
AU.2	24.	4.	3.	1.	0.	1.	8.	2.
AU.3	23.	3.	3.	0.	0.	1.	8.	3.
AY.1	35.	11.	10.	1.	5.	3.	10.	9.
AY.10	34.	9.	8.	1.	4.	2.	10.	7.
AY.100	37.	9.	8.	1.	4.	2.	11.	9.
AY.101	39.	9.	8.	1.	4.	2.	11.	10.
AY.102	37.	9.	8.	1.	4.	2.	11.	9.
AY.102.1	41.	11.	9.	2.	5.	2.	11.	9.
AY.102.2	43.	10.	9.	1.	5.	2.	11.	10.
AY.103	34.	8.	7.	1.	3.	2.	11.	9.
AY.104	36.	10.	9.	1.	4.	2.	10.	9.
AY.105	35.	9.	8.	1.	4.	2.	11.	9.
AY.106	35.	10.	9.	1.	5.	2.	10.	9.
AY.107	35.	10.	8.	2.	4.	2.	10.	9.
AY.108	38.	9.	8.	1.	4.	2.	11.	9.
